Estudiante,Nota,Edad
Estudiante1,88,21
Estudiante2,40,21
Estudiante4,95,22
Estudiante5,73,23
Estudiante6,86,24
Estudiante7,98,22
Estudiante8,94,21
Estudiante9,71,21
Estudiante10,88,21
Estudiante11,60,22
Estudiante12,65,23
Estudiante13,71,24
Estudiante14,77,20
Estudiante15,98,25
Estudiante16,97,21
Estudiante17,60,22
Estudiante18,60,21
Estudiante19,65,22
Estudiante20,62,21
Estudiante21,65,22
Estudiante22,45,21
Estudiante24,93,22
Estudiante25,81,23
Estudiante26,83,24
Estudiante28,78,22
Estudiante29,89,21
Estudiante30,94,22
Estudiante31,95,21
Estudiante32,90,21
Estudiante33,94,22
Estudiante34,95,21
