Dia;Casos
1;1
2;5
3;9
4;9
5;13
6;22
7;23
8;26
9;27
10;35
11;41
12;50
13;69
14;87
15;113
16;117
17;134
18;158
19;177
20;201
21;231
22;263
23;295
24;319
25;330
26;347
27;375
28;396
29;416
30;435
31;454
32;467
33;483
34;502
35;539
36;558
37;577
38;595
39;612
40;618
41;626
42;642
43;649
44;655
45;660
46;662
47;669
48;681
49;686
50;687
51;693
52;695
53;697
54;705
55;713
56;719
57;725
58;733
59;739
60;742
61;755
62;761
63;765
64;773
65;780
66;792
67;801
68;801
69;815
70;830
71;843
72;853
73;863
74;866
75;882
76;897
77;903
78;911
79;918
80;930
81;951
82;956
83;984
84;1000
85;1022
86;1047
87;1056
88;1084
89;1105
90;1157
91;1194
92;1228
93;1263
94;1318
95;1342
96;1375
97;1461
98;1538
99;1612
100;1662
101;1715
102;1744
103;1796
104;1871
105;1939
106;2058
107;2127
108;2213
109;2277
110;2368
111;2515
112;2684
113;2836
114;2979
115;3130
116;3269
117;3459
118;3753
119;4023
120;4311
121;4621
122;4996
123;5241
124;5486
125;5836
126;6485
127;6845
128;7231
129;7596
130;8036
131;8482
132;8986
133;9546
134;9969
135;10551
136;11114
137;11534
138;11811
139;12361
140;13129
141;13669
142;14600
143;15229
144;15841
145;16344
146;16800
147;17290
148;17820
149;18187
150;18975
151;19402
152;19837
153;20417
154;21070
155;22081
156;22802
157;23286
158;23872
159;24508
160;25057
161;26129
162;26931
163;27737
164;28465
165;29084
166;29643
167;30409
168;31075
169;32184
170;33084
171;33820
172;34463
173;35305
174;36307
175;37292
176;38485
177;39699
178;40546
179;41287
180;42184
181;43305
182;44458
183;45680
184;46920
185;47794
186;48780
187;49897
188;51224
189;52549
190;53959
191;54454
192;55424
193;56361
